,date,pe,close
4236,2016/8/4,14.96,2982.43
4237,2016/8/5,14.93,2976.7
4238,2016/8/8,15.07,3004.28
4239,2016/8/9,15.17,3025.68
4240,2016/8/10,15.14,3018.75
4241,2016/8/11,15.06,3002.64
4242,2016/8/12,15.3,3050.67
4243,2016/8/15,15.67,3125.2
4244,2016/8/16,15.6,3110.04
4245,2016/8/17,15.59,3109.55
4246,2016/8/18,15.57,3104.11
4247,2016/8/19,15.59,3108.1
4248,2016/8/22,15.47,3084.81
4249,2016/8/23,15.49,3089.71
4250,2016/8/24,15.47,3085.88
4251,2016/8/25,15.39,3068.33
4252,2016/8/26,15.4,3070.31
4253,2016/8/29,15.39,3070.03
4254,2016/8/30,15.42,3074.68
4255,2016/8/31,15.42,3085.49
4256,2016/9/1,15.31,3063.31
4257,2016/9/2,15.33,3067.35
4258,2016/9/5,15.35,3072.1
4259,2016/9/6,15.45,3090.71
4260,2016/9/7,15.45,3091.93
4261,2016/9/8,15.47,3095.95
4262,2016/9/9,15.39,3078.85
4263,2016/9/12,15.1,3021.98
4264,2016/9/13,15.11,3023.51
4265,2016/9/14,15.01,3002.85
4266,2016/9/19,15.12,3026.05
4267,2016/9/20,15.11,3023
4268,2016/9/21,15.12,3025.87
4269,2016/9/22,15.2,3042.31
4270,2016/9/23,15.16,3033.9
4271,2016/9/26,14.89,2980.43
4272,2016/9/27,14.98,2998.17
4273,2016/9/28,14.93,2987.86
4274,2016/9/29,14.99,2998.48
4275,2016/9/30,15.03,3004.7
4276,2016/10/10,15.25,3048.14
4277,2016/10/11,15.33,3065.25
4278,2016/10/12,15.3,3058.5
4279,2016/10/13,15.31,3061.35
4280,2016/10/14,15.33,3063.81
4281,2016/10/17,15.21,3041.17
4282,2016/10/18,15.43,3083.88
4283,2016/10/19,15.43,3084.72
4284,2016/10/20,15.43,3084.46
4285,2016/10/21,15.46,3090.94
4286,2016/10/24,15.65,3128.25
4287,2016/10/25,15.67,3131.94
4288,2016/10/26,15.59,3116.31
4289,2016/10/27,15.57,3112.35
4290,2016/10/28,15.53,3104.27
4291,2016/10/31,15.71,3100.49
4292,2016/11/1,15.82,3122.44
4293,2016/11/2,15.72,3102.73
4294,2016/11/3,15.85,3128.94
4295,2016/11/4,15.84,3125.32
4296,2016/11/7,15.88,3133.33
4297,2016/11/8,15.95,3147.89
4298,2016/11/9,15.85,3128.37
4299,2016/11/10,16.07,3171.28
4300,2016/11/11,16.19,3196.04
4301,2016/11/14,16.27,3210.37
4302,2016/11/15,16.25,3206.99
4303,2016/11/16,16.24,3205.06
4304,2016/11/17,16.26,3208.45
4305,2016/11/18,16.18,3192.86
4306,2016/11/21,16.31,3218.15
4307,2016/11/22,16.46,3248.35
4308,2016/11/23,16.42,3241.14
4309,2016/11/24,16.43,3241.74
4310,2016/11/25,16.53,3261.94
4311,2016/11/28,16.6,3277
4312,2016/11/29,16.63,3282.92
